"#","STATE","STATE ABBREVIATION","DISTRICT","FEC ID","INCUMBENT INDICATOR","FIRST NAME","LAST NAME","LAST NAME, FIRST","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL ","GENERAL %","GE RUNOFF","GE RUNOFF %","Notes (See Endnotes Tab)"
"79.0","American Samoa","AS","00","","","","","","District Votes:","","n/a","","","","12128.0","","","",""
"80.0","American Samoa","AS","H","","","","","","House Votes:","","n/a","","","","12128.0","","","",""
"81.0","American Samoa","AS","H","","","","","","Total Votes:","","n/a","","","","12128.0","","","","1.0"
"82.0","Arizona","AZ","01","H2AZ01172","(I)","Rick","Renzi","Renzi, Rick","","R","36723.0","1.0","","","148315.0","0.5854131225059305","","",""
"83.0","Arizona","AZ","01","","","","","","Party Votes:","R","36723.0","","","","","","","",""
"84.0","Arizona","AZ","01","H4AZ01111","","Paul","Babbitt","Babbitt, Paul","","D","35422.0","0.7371750848057272","","","91776.0","0.362248422149508","","",""
"85.0","Arizona","AZ","01","H4AZ01129","","Bob","Donahue","Donahue, Bob","","D","12629.0","0.26282491519427276","","","","","","",""
"86.0","Arizona","AZ","01","","","","","","Party Votes:","D","48051.0","","","","","","","",""
"87.0","Arizona","AZ","01","H4AZ01137","","John","Crockett","Crockett, John","","LBT","505.0","1.0","","","13260.0","0.052338455344561496","","",""
"88.0","Arizona","AZ","01","","","","","","Party Votes:","LBT","505.0","","","","","","","",""
"89.0","Arizona","AZ","01","","","","","","District Votes:","","85279.0","","","","253351.0","","","",""
"90.0","Arizona","AZ","02","H4AZ04024","(I)","Trent","Franks","Franks, Trent","","R","45261.0","0.6362959005792048","","","165260.0","0.591687164119254","","",""
"91.0","Arizona","AZ","02","H4AZ02093","","Rick L.","Murphy","Murphy, Rick L.","","R","25871.0","0.3637040994207951","","","","","","",""
"92.0","Arizona","AZ","02","","","","","","Party Votes:","R","71132.0","","","","","","","",""
"93.0","Arizona","AZ","02","H2AZ02220","","Randy","Camacho","Camacho, Randy","","D","12833.0","0.5268062397372743","","","107406.0","0.38455011224369234","","",""
"94.0","Arizona","AZ","02","H0AZ03248","","Gene","Scharer","Scharer, Gene","","D","5875.0","0.24117405582922824","","","","","","",""
"95.0","Arizona","AZ","02","H4AZ02101","","Larry","Coor","Coor, Larry","","D","5652.0","0.23201970443349754","","","","","","",""
"96.0","Arizona","AZ","02","","","","","","Party Votes:","D","24360.0","","","","","","","",""
"97.0","Arizona","AZ","02","H4AZ02119","","Powell","Gammill","Gammill, Powell","","LBT","365.0","1.0","","","6625.0","0.02371975954429419","","",""
"98.0","Arizona","AZ","02","","","","","","Party Votes:","LBT","365.0","","","","","","","",""
"99.0","Arizona","AZ","02","H2AZ02246","","William","Crum","Crum, William","","W","","","","","12.0","4.2964092759476265e-05","","",""
"100.0","Arizona","AZ","02","","","","","","District Votes:","","95857.0","","","","279303.0","","","",""
"101.0","Arizona","AZ","03","H4AZ04016","(I)","John","Shadegg","Shadegg, John","","R","43552.0","1.0","","","181012.0","0.8010302070149663","","",""
"102.0","Arizona","AZ","03","","","","","","Party Votes:","R","43552.0","","","","","","","",""
"103.0","Arizona","AZ","03","H4AZ04073","","Mark","Yannone","Yannone, Mark","","LBT","337.0","1.0","","","44962.0","0.19896979298503367","","",""
"104.0","Arizona","AZ","03","","","","","","Party Votes:","LBT","337.0","","","","","","","",""
"105.0","Arizona","AZ","03","","","","","","District Votes:","","43889.0","","","","225974.0","","","",""
"106.0","Arizona","AZ","04","H2AZ02055","(I)","Ed","Pastor","Pastor, Ed","","D","15201.0","1.0","","","77150.0","0.7011915257164151","","",""
"107.0","Arizona","AZ","04","","","","","","Party Votes:","D","15201.0","","","","","","","",""
"108.0","Arizona","AZ","04","H2AZ04101","","Don","Karg","Karg, Don","","R","8854.0","1.0","","","28238.0","0.25664609595826476","","",""
"109.0","Arizona","AZ","04","","","","","","Party Votes:","R","8854.0","","","","","","","",""
"110.0","Arizona","AZ","04","H4AZ04081","","Gary","Fallon","Fallon, Gary","","LBT","235.0","1.0","","","4639.0","0.042162378325320146","","",""
"111.0","Arizona","AZ","04","","","","","","Party Votes:","LBT","235.0","","","","","","","",""
"112.0","Arizona","AZ","04","","","","","","District Votes:","","24290.0","","","","110027.0","","","",""
"113.0","Arizona","AZ","05","H4AZ06052","(I)","J. D.","Hayworth","Hayworth, J. D.","","R","43166.0","0.7925893283390254","","","159455.0","0.5949658031320078","","",""
"114.0","Arizona","AZ","05","H4AZ05054","","Roselyn","O'Connell","O'Connell, Roselyn","","R","11296.0","0.20741067166097463","","","","","","",""
"115.0","Arizona","AZ","05","","","","","","Party Votes:","R","54462.0","","","","","","","",""
"116.0","Arizona","AZ","05","H4AZ05047","","Elizabeth","Rogers","Rogers, Elizabeth","","D","11362.0","0.6950510797088151","","","102363.0","0.38194151645292845","","",""
"117.0","Arizona","AZ","05","H2AZ05116","","Ronald","Maynard","Maynard, Ronald","","D","4985.0","0.3049489202911849","","","","","","",""
"118.0","Arizona","AZ","05","","","","","","Party Votes:","D","16347.0","","","","","","","",""
"119.0","Arizona","AZ","05","H4AZ05062 ","","Michael","Kielsky","Kielsky, Michael","","LBT","330.0","1.0","","","6189.0","0.023092680415063786","","",""
"120.0","Arizona","AZ","05","","","","","","Party Votes:","LBT","330.0","","","","","","","",""
"121.0","Arizona","AZ","05","","","","","","District Votes:","","71139.0","","","","268007.0","","","",""
"122.0","Arizona","AZ","06","H0AZ01184","(I)","Jeff","Flake","Flake, Jeff","","R","33784.0","0.5930138669475162","","","202882.0","0.7938194751483897","","",""
"123.0","Arizona","AZ","06","H4AZ06086","","Stan","Barnes","Barnes, Stan","","R","23186.0","0.40698613305248377","","","","","","",""
"124.0","Arizona","AZ","06","","","","","","Party Votes:","R","56970.0","","","","","","","",""
"125.0","Arizona","AZ","06","H4AZ06094","","Craig","Stritar","Stritar, Craig","","LBT","272.0","1.0","","","52695.0","0.2061805248516103","","",""
"126.0","Arizona","AZ","06","","","","","","Party Votes:","LBT","272.0","","","","","","","",""
"127.0","Arizona","AZ","06","","","","","","District Votes:","","57242.0","","","","255577.0","","","",""
"129.0","Arizona","AZ","07","","","","","","Party Votes:","D","26450.0","","","","","","","",""
"130.0","Arizona","AZ","07","H4AZ02010","","Joseph","Sweeney","Sweeney, Joseph","","R","11990.0","0.7012926244370358","","","59066.0","0.3366792637813004","","",""
"132.0","Arizona","AZ","07","","","","","","Party Votes:","R","17097.0","","","","","","","",""
"133.0","Arizona","AZ","07","H4AZ07027","","Dave","Kaplan","Kaplan, Dave","","LBT","294.0","1.0","","","7503.0","0.042767489184151575","","",""
"134.0","Arizona","AZ","07","","","","","","Party Votes:","LBT","294.0","","","","","","","",""
"135.0","Arizona","AZ","07","","","","","","District Votes:","","43841.0","","","","175437.0","","","",""
"136.0","Arizona","AZ","08","H2AZ02014","(I)","Jim","Kolbe","Kolbe, Jim","","R","36039.0","0.5745555998405739","","","183363.0","0.6036264398276322","","",""
"137.0","Arizona","AZ","08","H4AZ08017","","Randy","Graf","Graf, Randy","","R","26686.0","0.4254444001594261","","","","","","",""
"138.0","Arizona","AZ","08","","","","","","Party Votes:","R","62725.0","","","","","","","",""
"139.0","Arizona","AZ","08","H4AZ08058","","Eva","Bacal","Bacal, Eva","","D","20216.0","0.5862088963637418","","","109963.0","0.3619954636582403","","",""
"140.0","Arizona","AZ","08","H4AZ08033","","Tim","Sultan","Sultan, Tim","","D","9177.0","0.26610798584933015","","","","","","",""
"141.0","Arizona","AZ","08","H4AZ08041","","Jeffrey ""Jeff""","Chimene","Chimene, Jeffrey ""Jeff""","","D","5093.0","0.14768311778692803","","","","","","",""
"142.0","Arizona","AZ","08","","","","","","Party Votes:","D","34486.0","","","","","","","",""
"143.0","Arizona","AZ","08","H6AZ06024","","Robert","Anderson","Anderson, Robert","","LBT","385.0","1.0","","","10443.0","0.03437809651412751","","",""
"144.0","Arizona","AZ","08","","","","","","Party Votes:","LBT","385.0","","","","","","","",""
"145.0","Arizona","AZ","08","","","","","","District Votes:","","97596.0","","","","303769.0","","","",""
"146.0","Arizona","AZ","H","","","","","","House Votes:","","519133.0","","","","1871445.0","","","",""
"147.0","Arizona","AZ","S","S6AZ00019","(I)","John","McCain","McCain, John","","R","331720.0","1.0","","","1505372.0","0.7673903501952666","","",""
"148.0","Arizona","AZ","S","","","","","","Party Votes:","R","331720.0","","","","","","","",""
"149.0","Arizona","AZ","S","S0AZ00152","","Stuart ","Starky","Starky, Stuart ","","D","173540.0","1.0","","","404507.0","0.20620469119024182","","",""
"150.0","Arizona","AZ","S","","","","","","Party Votes:","D","173540.0","","","","","","","",""
"151.0","Arizona","AZ","S","S4AZ00121","","Ernest","Hancock","Hancock, Ernest","","LBT","2756.0","1.0","","","51798.0","0.026404958614491582","","",""
"152.0","Arizona","AZ","S","","","","","","Party Votes:","LBT","2756.0","","","","","","","",""
"153.0","Arizona","AZ","S","","","","","","Senate Votes:","","508016.0","","","","1961677.0","","","",""
"154.0","Arizona","AZ","","","","","","","Total State Votes:","","1027149.0","","","","3833122.0","","","",""
"155.0","Arkansas","AR","01","H6AR01072","(I)","Marion","Berry","Berry, Marion","","D","Unopposed","","","","162388.0","0.6656773685763946","","",""
"156.0","Arkansas","AR","01","H4AR01044","","Vernon","Humphrey","Humphrey, Vernon","","R","Unopposed","","","","81556.0","0.3343226314236054","","",""
"157.0","Arkansas","AR","01","","","","","","District Votes:","","","","","","243944.0","","","",""
"158.0","Arkansas","AR","02","H6AR02203","(I)","Vic","Synder","Synder, Vic","","D","Unopposed","","","","160834.0","0.5816928457501637","","",""
"159.0","Arkansas","AR","02","H4AR02117","","Marvin","Parks","Parks, Marvin","","R","11590.0","0.6921055774513316","","","115655.0","0.41829268733747327","","",""
"160.0","Arkansas","AR","02","H2AR02046","","Ed","Garner","Garner, Ed","","R","5156.0","0.30789442254866833","","","","","","",""
"161.0","Arkansas","AR","02","","","","","","Party Votes:","R","16746.0","","","","","","","",""
"162.0","Arkansas","AR","02","H4AR02125","","William","Gabriel","Gabriel, William","","W","","","","","4.0","2.490210360520205e-05","","",""
"163.0","Arkansas","AR","02","","","","","","District Votes:","","16746.0","","","","276493.0","","","",""
"164.0","Arkansas","AR","03","H2AR03176","(I)","John","Boozman","Boozman, John","","R","Unopposed","","","","160629.0","0.5931581260178063","","",""
"165.0","Arkansas","AR","03","H4AR03024","","Jan","Judy","Judy, Jan","","D","Unopposed","","","","103158.0","0.38093374150212517","","",""
"166.0","Arkansas","AR","03","H4AR03032","","Dale","Morfey","Morfey, Dale","","I","","","","","7016.0","0.025908132480068537","","",""
"167.0","Arkansas","AR","03","","","","","","District Votes:","","","","","","270803.0","","","",""
"168.0","Arkansas","AR","04","H0AR04038","(I)","Mike","Ross","Ross, Mike","","D","Unopposed","","","","Unopposed","","","",""
"169.0","Arkansas","AR","04","","","","","","District Votes:","","","","","","","","","",""
"170.0","Arkansas","AR","H","","","","","","House Votes:","","16746.0","","","","791240.0","","","",""
"171.0","Arkansas","AR","S","S8AR00112","(I)","Blanche L.","Lincoln","Lincoln, Blanche L.","","D","231037.0","0.8309278647135196","","","580973.0","0.5589777832085276","","",""
"172.0","Arkansas","AR","S","S4AR00061","","Lisa","Burks","Burks, Lisa","","D","47010.0","0.16907213528648035","","","","","","",""
"173.0","Arkansas","AR","S","","","","","","Party Votes:","D","278047.0","","","","","","","",""
"174.0","Arkansas","AR","S","S4AR00046","","Jim","Holt","Holt, Jim","","R","37254.0","0.6893654817638459","","","458036.0","0.4406950889450993","","",""
"175.0","Arkansas","AR","S","S4AR00053","","Andy","Lee","Lee, Andy","","R","10709.0","0.19816435669214116","","","","","","",""
"176.0","Arkansas","AR","S","S4AR00079","","Rosemarie","Clampitt","Clampitt, Rosemarie","","R","6078.0","0.11247016154401288","","","","","","",""
"177.0","Arkansas","AR","S","","","","","","Party Votes:","R","54041.0","","","","","","","",""
"178.0","Arkansas","AR","S","S4AR00095","","Glenn","Schwarz","Schwarz, Glenn","","W","","","","","212.0","0.00020397383362085304","","",""
"179.0","Arkansas","AR","S","S4AR00087","","Gene","Mason","Mason, Gene","","W","","","","","128.0","0.00012315401275221315","","",""
"180.0","Arkansas","AR","S","","","","","","Senate Votes:","","332088.0","","","","1039349.0","","","",""
"181.0","Arkansas","AR","","","","","","","Total State Votes:","","348834.0","","","","1830589.0","","","",""
"182.0","California","CA","01","H8CA01109","(I)","Mike","Thompson","Thompson, Mike","","D","92371.0","1.0","","","189366.0","0.669206385106601","","",""
"183.0","California","CA","01","","","","","","Party Votes:","D","92371.0","","","","","","","",""
"184.0","California","CA","01","H0CA01106","","Lawrence R.","Wiesner","Wiesner, Lawrence R.","","R","48710.0","1.0","","","79970.0","0.2826084651784105","","",""
"185.0","California","CA","01","","","","","","Party Votes:","R","48710.0","","","","","","","",""
"186.0","California","CA","01","H0CA01130","","Pamela","Elizondo","Elizondo, Pamela","","GRN","2365.0","0.5460632648349111","","","13635.0","0.04818514971498846","","",""
"187.0","California","CA","01","H4CA01058","","Bill","Meyers","Meyers, Bill","","GRN","1966.0","0.45393673516508887","","","","","","",""
"188.0","California","CA","01","","","","","","Party Votes:","GRN","4331.0","","","","","","","",""
"189.0","California","CA","01","","","","","","District Votes:","","145412.0","","","","282971.0","","","",""
"190.0","California","CA","02","H6CA02010","(I)","Wally","Herger","Herger, Wally","","R","79923.0","1.0","","","182119.0","0.6685007836904294","","",""
"191.0","California","CA","02","","","","","","Party Votes:","R","79923.0","","","","","","","",""
"192.0","California","CA","02","H2CA02068","","Mike","Johnson","Johnson, Mike","","D","20760.0","0.4426156109417308","","","90310.0","0.3314992163095706","","",""
"193.0","California","CA","02","H4CA02072","","A.J.","Sekhon","Sekhon, A.J.","","D","14246.0","0.3037332366799565","","","","","","",""
"194.0","California","CA","02","H4CA02080","","Jeffrey ","Vance","Vance, Jeffrey ","","D","11897.0","0.2536511523783127","","","","","","",""
"195.0","California","CA","02","","","","","","Party Votes:","D","46903.0","","","","","","","",""
"196.0","California","CA","02","","","","","","District Votes:","","126826.0","","","","272429.0","","","",""
"197.0","California","CA","03","H6CA34112","","Dan","Lungren","Lungren, Dan","","R","35595.0","0.3890801770782095","","","177738.0","0.6191386859788277","","",""
"198.0","California","CA","03","H4CA03070","","Rico","Oller","Oller, Rico","","R","32728.0","0.3577417062906487","","","","","","",""
"199.0","California","CA","03","H4CA03088","","Mary","Ose","Ose, Mary","","R","21469.0","0.23467235065857792","","","","","","",""
"200.0","California","CA","03","H2CA05061","","Richard","Frankhuizen","Frankhuizen, Richard","","R","1693.0","0.018505765972563808","","","","","","",""
"201.0","California","CA","03","","","","","","Party Votes:","R","91485.0","","","","","","","",""
"202.0","California","CA","03","H4CA03062","","Gabe","Castillo","Castillo, Gabe","","D","51155.0","1.0","","","100025.0","0.34843053857381223","","",""
"203.0","California","CA","03","","","","","","Party Votes:","D","51155.0","","","","","","","",""
"204.0","California","CA","03","H8CA05134","","Douglas Arthur","Tuma","Tuma, Douglas Arthur","","LBT","634.0","1.0","","","9310.0","0.03243077544736008","","",""
"205.0","California","CA","03","","","","","","Party Votes:","LBT","634.0","","","","","","","",""
"206.0","California","CA","03","","","","","","District Votes:","","143274.0","","","","287073.0","","","",""
"207.0","California","CA","04","H0CA14042","(I)","John T.","Doolittle","Doolittle, John T.","","R","105015.0","1.0","","","221926.0","0.6539371598466566","","",""
"208.0","California","CA","04","","","","","","Party Votes:","R","105015.0","","","","","","","",""
"209.0","California","CA","04","H4CA04078","","David I.","Winters","Winters, David I.","","D","58036.0","1.0","","","117443.0","0.34606284015334343","","",""
"210.0","California","CA","04","","","","","","Party Votes:","D","58036.0","","","","","","","",""
"211.0","California","CA","04","","","","","","District Votes:","","163051.0","","","","339369.0","","","",""
"212.0","California","CA","05 ","H8CA03014","(I)","Robert T.","Matsui","Matsui, Robert T.","","D","63291.0","0.9998262298189631","","","138004.0","0.7136157032272076","","",""
"213.0","California","CA","05 ","H4CA05232","","Pat","Driscoll","Driscoll, Pat","","W(D)","11.0","0.00017377018103693407","","","","","","",""
"214.0","California","CA","05 ","","","","","","Party Votes:","D","63302.0","","","","","","","",""
"215.0","California","CA","05 ","H4CA05224","","Mike ","Dugas ","Dugas, Mike ","","R","26674.0","1.0","","","45120.0","0.23331454544514368","","",""
"216.0","California","CA","05 ","","","","","","Party Votes:","R","26674.0","","","","","","","",""
"217.0","California","CA","05 ","H4CA05232","","Pat","Driscoll","Driscoll, Pat","","GRN","1041.0","1.0","","","6593.0","0.03409226059662749","","",""
"218.0","California","CA","05 ","","","","","","Party Votes:","GRN","1041.0","","","","","","","",""
"219.0","California","CA","05 ","H4CA05240","","John C.","Reiger","Reiger, John C.","","PFP","215.0","1.0","","","3670.0","0.018977490731021215","","",""
"220.0","California","CA","05 ","","","","","","Party Votes:","PFP","215.0","","","","","","","",""
"221.0","California","CA","05","","","","","","District Votes:","","91232.0","","","","193387.0","","","",""
"222.0","California","CA","06 ","H2CA01045","(I)","Lynn","Woolsey","Woolsey, Lynn","","D","99970.0","0.84002050265106","","","226423.0","0.7264901320961155","","",""
"223.0","California","CA","06 ","H4CA06107","","Renn","Vara","Vara, Renn","","D","19039.0","0.15997949734894","","","","","","",""
"224.0","California","CA","06 ","","","","","","Party Votes:","D","119009.0","","","","","","","",""
"225.0","California","CA","06 ","H2CA06234","","Paul L.","Erickson","Erickson, Paul L.","","R","43248.0","1.0","","","85244.0","0.2735098679038846","","",""
"226.0","California","CA","06 ","","","","","","Party Votes:","R","43248.0","","","","","","","",""
"227.0","California","CA","06","","","","","","District Votes:","","162257.0","","","","311667.0","","","",""
"228.0","California","CA","07","H6CA07043","(I)","George","Miller","Miller, George","","D","71268.0","1.0","","","166831.0","0.76082306853888","","",""
"229.0","California","CA","07","","","","","","Party Votes:","D","71268.0","","","","","","","",""
