"FEC ID","STATE","DISTRICT","FIRST NAME","LAST NAME","LAST NAME,  FIRST","TOTAL VOTES","PARTY","PRIMARY RESULTS","PRIMARY %","RUNOFF RESULTS","RUNOFF %","GENERAL RESULTS","GENERAL %","GENERAL RUNOFF RESULTS","GENERAL RUNOFF %","INCUMBENT INDICATOR","NOTES (See Endnotes Page)"
"H2AL01135","AL","01","Buzz","Jordan","Jordan, Buzz","","D","3593.0","0.09102193849115874","","","","","","","",""
"","AL","01","","","   ","Total Party Votes:","D","39474.0","","22261.0","","","","","","",""
"H0AL01022","AL","01","Dick","Coffee","Coffee, Dick","","LBT","","","","","2957.0","0.016548489817390186","","","",""
"","AL","01","","Scattered","Scattered ","","W","","","","","121.0","0.0006771617409212757","","","",""
"","AL","01","","","   ","Total District Votes:","","113630.0","","74183.0","","178687.0","","","","",""
"H2AL02067","AL","02","Terry","Everett","Everett, Terry","","R","Unopposed","","","","129233.0","0.6875375734844253","","","(I)",""
"H0AL02061","AL","02","Charles","Woods","Woods, Charles","","D","Unopposed","","","","55495.0","0.2952411353177453","","","",""
"H2AL02133","AL","02","Floyd","Shackelford","Shackelford, Floyd","","LBT","","","","","2948.0","0.015683770914797966","","","",""
"","AL","02","","Scattered","Scattered ","","W","","","","","289.0","0.0015375202830314155","","","",""
"","AL","02","","","   ","Total District Votes:","","","","","","187965.0","","","","",""
"H2AL03032","AL","03","Mike","Rogers","Rogers, Mike","","R","28113.0","0.7612922443674177","","","91169.0","0.5030763203346154","","","",""
"H2AL03057","AL","03","Jason","Dial","Dial, Jason","","R","4681.0","0.12676018197573657","","","","","","","",""
"H2AL03065","AL","03","Jeff","Fink","Fink, Jeff","","R","4134.0","0.11194757365684575","","","","","","","",""
"","AL","03","","","   ","Total Party Votes:","R","36928.0","","","","","","","","",""
"H8AL03039","AL","03","Joe","Turnham","Turnham, Joe","","D","30245.0","0.523995148995149","","","87351.0","0.482008354347958","","","",""
"H6AL03082","AL","03","Gerald","Willis","Willis, Gerald","","D","22336.0","0.38697158697158696","","","","","","","",""
"H2AL03073","AL","03","Willie (Billy)","Burnett","Burnett, Willie (Billy)","","D","5139.0","0.08903326403326403","","","","","","","",""
"","AL","03","","","   ","Total Party Votes:","D","57720.0","","","","","","","","",""
"H2AL03081","AL","03","George","Crispin","Crispin, George","","LBT","","","","","2565.0","0.01415383257092091","","","",""
"","AL","03","","Scattered","Scattered ","","W","","","","","138.0","0.0007614927465056864","","","",""
"","AL","03","","","   ","Total District Votes:","","94648.0","","","","181223.0","","","","",""
"H6AL04098","AL","04","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","139705.0","0.8671889063382598","","","(I)",""
"H2AL04030","AL","04","Tony Hughes","McLendon","McLendon, Tony Hughes","","LBT","","","","","20858.0","0.12947157373324808","","","",""
"","AL","04","","Scattered","Scattered ","","W","","","","","538.0","0.003339519928492064","","","",""
"","AL","04","","","   ","Total District Votes:","","","","","","161101.0","","","","",""
"H0AL05049","AL","05","Bud","Cramer","Cramer, Bud","","D","Unopposed","","","","143029.0","0.7328394074939412","","","(I)",""
"H2AL05060","AL","05","Stephen P.","Engel","Engel, Stephen P.","","R","13971.0","0.5585942185438407","","","48226.0","0.24709613620876053","","","",""
"H2AL05078","AL","05","Michael","Williams","Williams, Michael","","R","11040.0","0.4414057814561593","","","","","","","",""
"","AL","05","","","   ","Total Party Votes:","R","25011.0","","","","","","","","",""
"H8AL07071","AL","05","Alan F. ","Barksdale","Barksdale, Alan F. ","","LBT","","","","","3772.0","0.019326641765426218","","","",""
"","AL","05","","Scattered","Scattered ","","W","","","","","144.0","0.0007378145318720507","","","",""
"","AL","05","","","   ","Total District Votes:","","25011.0","","","","195171.0","","","","",""
"H2AL06035","AL","06","Spencer","Bachus","Bachus, Spencer","","R","79509.0","0.8780576691588166","","","178171.0","0.8982838070845895","","","(I)",""
"H0AL06070","AL","06","Terry","Reagin","Reagin, Terry","","R","11042.0","0.12194233084118342","","","","","","","",""
"","AL","06","","","   ","Total Party Votes:","R","90551.0","","","","","","","","",""
"H2AL06092","AL","06","J. Holden ","McAllister","McAllister, J. Holden ","","LBT","","","","","19639.0","0.0990138444939651","","","",""
"","AL","06","","Scattered","Scattered ","","W","","","","","536.0","0.0027023484214453533","","","",""
"","AL","06","","","   ","Total District Votes:","","90551.0","","","","198346.0","","","","",""
"H0AL07060","AL","07","Artur","Davis","Davis, Artur","","D","43519.0","0.43063389340774605","52394.0","0.5600282183932618","153735.0","0.9243937489853224","","","",""
"H2AL07041","AL","07","Earl F.","Hilliard","Hilliard, Earl F.","","D","46224.0","0.45740070058778126","41162.0","0.4399717816067382","","","","","(I)",""
"H2AL07140","AL","07","Sam","Wiggins, III","Wiggins, Sam, III","","D","11315.0","0.11196540600447268","","","","","","","",""
"","AL","07","","","   ","Total Party Votes:","D","101058.0","","93556.0","","","","","","",""
"H2AL07157","AL","07","Lauren Orth","McCay","McCay, Lauren Orth","","LBT","","","","","12100.0","0.07275613466499108","","","",""
"","AL","07","","Scattered","Scattered ","","W","","","","","474.0","0.002850116349686427","","","",""
"","AL","07","","","   ","Total District Votes:","","101058.0","","93556.0","","166309.0","","","","",""
"","AL","","","","   ","Total State Votes:","","424898.0","","167739.0","","1268802.0","","","","",""
"","AK","","","","","","","","","","","","","","","",""
"S2AK00010","AK","S","Ted ","Stevens","Stevens, Ted ","","R","64315.0","0.8894097798429029","","","179438.0","0.7817014306376009","","","(I)",""
"S2AK00077","AK","S","Mike ","Aubrey","Aubrey, Mike ","","R","7997.0","0.11059022015709702","","","","","","","",""
"","AK","S","","","   ","Total Party Votes:","R","72312.0","","","","","","","","",""
"S0AK00097","AK","S","Frank J.","Vondersaar","Vondersaar, Frank J.","","D","18256.0","0.6626978365035574","","","24133.0","0.10513269555822748","","","",""
"S6AK00102","AK","S","Theresa Nangle","Obermeyer","Obermeyer, Theresa Nangle","","D","9292.0","0.3373021634964426","","","","","","","",""
"","AK","S","","","   ","Total Party Votes:","D","27548.0","","","","","","","","",""
"S2AK00093","AK","S","Jim","Sykes","Sykes, Jim","","GRN","1182.0","0.7665369649805448","","","16608.0","0.07235088086151915","","","",""
"S2AK00085","AK","S","Thomas M.","Higgins","Higgins, Thomas M.","","GRN","360.0","0.23346303501945526","","","","","","","",""
"","AK","S","","","   ","Total Party Votes:","GRN","1542.0","","","","","","","","",""
"S2AK00069","AK","S","Jim ","Dore","Dore, Jim ","","AKI","2665.0","1.0","","","6724.0","0.029292348441284612","","","",""
"","AK","S","","","   ","Total Party Votes:","AKI","2665.0","","","","","","","","",""
"S2AK00101","AK","S","Leonard J. ""Len""","Karpinski","Karpinski, Leonard J. ""Len""","","LBT","558.0","1.0","","","2354.0","0.01025493578685068","","","",""
"","AK","S","","","   ","Total Party Votes:","LBT","558.0","","","","","","","","",""
"","AK","S","","Scattered","Scattered ","","W","","","","","291.0","0.001267708714517225","","","",""
"","AK","S","","","   ","Total State Votes:","","104625.0","","","","229548.0","","","","",""
"H6AK00045","AK","00","Don E.","Young","Young, Don E.","","R","65353.0","1.0","","","169685.0","0.7451311889340213","","","(I)",""
"","AK","00","","","   ","Total Party Votes:","R","65353.0","","","","","","","","",""
"H0AK00055","AK","00","Clifford Mark","Greene","Greene, Clifford Mark","","D","15467.0","0.6451303441084463","","","39357.0","0.1728268745197058","","","",""
"H0AK00063","AK","00","Dae","Miles","Miles, Dae","","D","8508.0","0.3548696558915537","","","","","","","",""
"","AK","00","","","   ","Total Party Votes:","D","23975.0","","","","","","","","",""
"H2AK00077","AK","00","Russell F.","DeForest","DeForest, Russell F.","","GRN","1486.0","1.0","","","14435.0","0.0633878581622571","","","",""
"","AK","00","","","   ","Total Party Votes:","GRN","1486.0","","","","","","","","",""
"H2AK00085","AK","00","Rob","Clift","Clift, Rob","","LBT","548.0","1.0","","","3797.0","0.01667361949720057","","","",""
"","AK","00","","","   ","Total Party Votes:","LBT","548.0","","","","","","","","",""
"","AK","00","","Scattered","Scattered ","","W","","","","","451.0","0.0019804588868152376","","","",""
"","AK","","","","   ","Total State Votes:","","91362.0","","","","227725.0","","","","",""
"","AR","","","","   ","","","","","","","","","","","",""
"S0AR00028","AR","S","Mark","Pryor","Pryor, Mark","","D","Unopposed","","","","433306.0","0.5389652954939245","","","",""
"S6AR00124","AR","S","Tim","Hutchinson","Hutchinson, Tim","","R","71576.0","0.7769696706541326","","","370653.0","0.46103470450607553","","","(I)",""
"S2AR00065","AR","S","Jim Bob","Duggar","Duggar, Jim Bob","","R","20546.0","0.22303032934586745","","","","","","","",""
"","AR","S","","","   ","Total Party Votes:","R","92122.0","","","","","","","","",""
"","AR","S","","","   ","Total State Votes:","","92122.0","","","","803959.0","","","","",""
"H6AR01072","AR","01","Marion","Berry","Berry, Marion","","D","Unopposed","","","","129701.0","0.6683620360923023","","","(I)",""
"H2AR01048","AR","01","Tommy F.","Robinson","Robinson, Tommy F.","","R","Unopposed","","","","64357.0","0.3316379639076977","","","",""
"","AR","01","","","   ","Total District Votes:","","","","","","194058.0","","","","",""
"H6AR02203","AR","02","Vic","Snyder","Snyder, Vic","","D","55098.0","0.7237262087717224","","","142752.0","0.9292177105437882","","","(I)",""
"H2AR02038","AR","02","Jim B.","Baker","Baker, Jim B.","","D","21033.0","0.27627379122827755","","","","","","","",""
"","AR","02","","","   ","Total Party Votes:","D","76131.0","","","","","","","","",""
"H2AR02046","AR","02","Ed","Garner","Garner, Ed ","","W","","","","","10874.0","0.07078228945621184","","","",""
"","AR","02","","","   ","Total District Votes:","","76131.0","","","","153626.0","","","","",""
"H2AR03176","AR","03","John","Boozman","Boozman, John","","R","Unopposed","","","","141478.0","0.9889762678690014","","","(I)",""
"H2AR03226","AR","03","George N. ","Lyne","Lyne, George N. ","","W","","","","","1577.0","0.011023732130998568","","","",""
"","AR","03","","","   ","Total District Votes:","","","","","","143055.0","","","","",""
"H0AR04038","AR","04","Mike","Ross","Ross, Mike","","D","Unopposed","","","","119633.0","0.6056232503277867","","","(I)",""
"H2AR04067","AR","04","Jay","Dickey","Dickey, Jay","","R","10608.0","0.8626494266894364","","","77904.0","0.3943767496722133","","","",""
"H2AR04075","AR","04","David ""Bear""","Stearns","Stearns, David ""Bear""","","R","1689.0","0.13735057331056355","","","","","","","",""
"","AR","04","","","   ","Total Party Votes:","R","12297.0","","","","","","","","",""
"","AR","04","","","   ","Total District Votes:","","12297.0","","","","197537.0","","","","",""
"","AR"," ","","","   ","Total State Votes:","","88428.0","","","","688276.0","","","","",""
"","AS","","","","   ","","","","","","","","","","","",""
"H0AS00018","AS","00","Eni F. H. ","Faleomavaega","Faleomavaega, Eni F. H. ","","D","","","","","4294.0","0.41316270566727603","4959.0","0.5484406104844061","(I)",""
"H2AS00048","AS","00","Fagafaga D.","Langkilde","Langkilde, Fagafaga D.","","I","","","","","3332.0","0.32060040411815643","4083.0","0.4515593895155939","",""
"H4AS00036","AS","00","Amata Aumua","Coleman","Coleman, Amata Aumua","","R","","","","","2767.0","0.2662368902145675","","","",""
"","AS","","","","   ","Total Votes:","","","","","","10393.0","","9042.0","","","1.0"
"","AZ","","","","   ","","","","","","","","","","","",""
"H2AZ01172","AZ","01","Rick","Renzi","Renzi, Rick","","R","11379.0","0.24426317484168725","","","85967.0","0.49212019211504004","","","",""
"H2AZ01214","AZ","01","Lewis Noble","Tenney","Tenney, Lewis Noble","","R","9569.0","0.20540946656649137","","","","","","","",""
"H2AZ01149","AZ","01","Sydney Ann","Hay","Hay, Sydney Ann","","R","9550.0","0.20500160996028766","","","","","","","",""
"H2AZ01222","AZ","01","Alan","Everett","Everett, Alan","","R","7321.0","0.15715359021144146","","","","","","","",""
"H2AZ01180","AZ","01","Bruce","Whiting","Whiting, Bruce","","R","6872.0","0.14751529462273263","","","","","","","",""
"H2AZ01164","AZ","01","David","Stafford","Stafford, David","","R","1894.0","0.040656863797359666","","","","","","","",""
"","AZ","01","","","   ","Total Party Votes:","R","46585.0","","","","","","","","",""
"H2AZ08011","AZ","01","George","Cordova","Cordova, George","","D","11689.0","0.21721920761168512","","","79730.0","0.4564163332131183","","","",""
"H2AZ01198","AZ","01","Stephen","Udall","Udall, Stephen","","D","10690.0","0.19865457518769047","","","","","","","",""
"H2AZ00059","AZ","01","Diane","Prescott","Prescott, Diane","","D","9629.0","0.1789377833940385","","","","","","","",""
"H2AZ01230","AZ","01","Fred","Duval","Duval, Fred","","D","8648.0","0.16070764885155728","","","","","","","",""
"H2AZ01206","AZ","01","Derrick","Watchman","Watchman, Derrick","","D","7326.0","0.13614063777596075","","","","","","","",""
"H2AZ01156","AZ","01","Sam","Martinez","Martinez, Sam","","D","4908.0","0.09120642235932505","","","","","","","",""
"H0AZ03222","AZ","01","Roger","Hartstone","Hartstone, Roger","","D","922.0","0.017133724819742808","","","","","","","",""
"","AZ","01","","","   ","Total Party Votes:","D","53812.0","","","","","","","","",""
"H2AZ01263","AZ","01","Edwin","Porr","Porr, Edwin","","LBT","286.0","0.5406427221172023","","","8990.0","0.05146347467184164","","","",""
"H2AZ01255","AZ","01","Andy","Fernandez","Fernandez, Andy","","LBT","243.0","0.45935727788279773","","","","","","","",""
"","AZ","01","","","   ","Total Party Votes:","LBT","529.0","","","","","","","","",""
"","AZ","01","","","   ","Total District Votes:","","100926.0","","","","174687.0","","","","",""
"H4AZ04024","AZ","02","Trent","Franks","Franks, Trent","","R","14749.0","0.2766232791927679","","","100359.0","0.5991510549127772","","","",""
"H2AZ02188","AZ","02","Lisa","Atkins","Atkins, Lisa","","R","13952.0","0.26167523162909334","","","","","","","",""
"H2AZ02212","AZ","02","John","Keegan","Keegan, John","","R","10560.0","0.19805694137064406","","","","","","","",""
"H2AZ02196","AZ","02","Scott","Bundgaard","Bundgaard, Scott","","R","8701.0","0.16319066731685358","","","","","","","",""
"H2AZ03079","AZ","02","Dusko","Jovicic","Jovicic, Dusko","","R","3805.0","0.07136426722682772","","","","","","","",""
"H2AZ02238","AZ","02","Mike","Schaefer","Schaefer, Mike","","R","933.0","0.01749878089950861","","","","","","","",""
"H8AZ03076","AZ","02","Dick","Hensley","Hensley, Dick","","R","618.0","0.011590832364304738","","","","","","","",""
"","AZ","02","","","   ","Total Party Votes:","R","53318.0","","","","","","","","",""
"H2AZ02220","AZ","02","Randy","Camacho","Camacho, Randy","","D","6507.0","0.33015373687148003","","","61217.0","0.3654702630416353","","","",""
"H2AZ03053","AZ","02","Elizabeth (Liz)","Farley","Farley, Elizabeth (Liz)","","D","5994.0","0.3041250190268405","","","","","","","",""
"H2AZ02204","AZ","02","Sandy","Reagan","Reagan, Sandy","","D","3857.0","0.19569739712821554","","","","","","","",""
"H0AZ03263","AZ","02","Linda","Calvert","Calvert, Linda","","D","3323.0","0.16860317621391244","","","","","","","",""
"H0AZ03248","AZ","02","Gene ","Scharer","Scharer, Gene ","","W(D)","28.0","0.001420670759551474","","","","","","","",""
"","AZ","02","","","   ","Total Party Votes:","D","19709.0","","","","","","","","",""
"H0AZ03271","AZ","02","Edward","Carlson","Carlson, Edward","","LBT","307.0","1.0","","","5919.0","0.035336891499802986","","","",""
"","AZ","02","","","   ","Total Party Votes:","LBT","307.0","","","","","","","","",""
"H2AZ02246","AZ","02","William","Crum","Crum, William","","W","","","","","7.0","4.179054578452795e-05","","","",""
"","AZ","02","","","   ","Total District Votes:","","73334.0","","","","167502.0","","","","",""
"H4AZ04016","AZ","03","John","Shadegg","Shadegg, John","","R","36500.0","1.0","","","104847.0","0.6731706377487143","","","(I)",""
"","AZ","03","","","   ","Total Party Votes:","R","36500.0","","","","","","","","",""
"H2AZ03061","AZ","03","Charles","Hill","Hill, Charles","","D","14336.0","1.0","","","47173.0","0.30287445987505696","","","",""
"","AZ","03","","","   ","Total Party Votes:","D","14336.0","","","","","","","","",""
"H4AZ04073","AZ","03","Mark","Yannone","Yannone, Mark","","LBT","186.0","0.58125","","","3731.0","0.023954902376228725","","","",""
"H0AZ04477","AZ","03","Edward","Gaudreau","Gaudreau, Edward","","LBT","134.0","0.41875","","","","","","","",""
"","AZ","03","","","   ","Total Party Votes:","LBT","320.0","","","","","","","","",""
"","AZ","03","","","   ","Total District Votes:","","51156.0","","","","155751.0","","","","",""
"H2AZ02055","AZ","04","Ed","Pastor","Pastor, Ed","","D","17051.0","1.0","","","44517.0","0.6738363732687505","","","(I)",""
"","AZ","04","","","   ","Total Party Votes:","D","17051.0","","","","","","","","",""
"H2AZ04093","AZ","04","Jonathan","Barnert","Barnert, Jonathan","","R","5616.0","0.7459157922698898","","","18381.0","0.27822598955574057","","","",""
"H2AZ04101","AZ","04","Don","Karg","Karg, Don","","R","1913.0","0.25408420773011026","","","","","","","",""
"","AZ","04","","","   ","Total Party Votes:","R","7529.0","","","","","","","","",""
"H2AZ04119","AZ","04","Amy ","Gibbons","Gibbons, Amy ","","W(LBT)/LBT","20.0","0.8695652173913043","","","3167.0","0.04793763717550897","","","",""
"","AZ","04","Richard ","Sutton","Sutton, Richard ","","W(LBT)  ","3.0","0.13043478260869565","","","","","","","",""
"","AZ","04","","","   ","Total Party Votes:","LBT","23.0","","","","","","","","",""
"","AZ","04","","","   ","Total District Votes:","","24603.0","","","","66065.0","","","","",""
"H4AZ06052","AZ","05","J.D.","Hayworth","Hayworth, J.D.","","R","37325.0","1.0","","","103870.0","0.6116764421831201","","","(I)",""
"","AZ","05","","","   ","Total Party Votes:","R","37325.0","","","","","","","","",""
"H2AZ05108","AZ","05","Craig","Columbus","Columbus, Craig","","D","8147.0","0.49028103749172536","","","61559.0","0.36251266106046687","","","",""
"H2AZ05090","AZ","05","Larry","King","King, Larry","","D","4903.0","0.2950592766444003","","","","","","","",""
"H2AZ05116","AZ","05","Ronald E.","Maynard","Maynard, Ronald E.","","D","3567.0","0.21465968586387435","","","","","","","",""
"","AZ","05","","","   ","Total Party Votes:","D","16617.0","","","","","","","","",""
"H2AZ05124","AZ","05","Warren","Severin","Severin, Warren","","W(LBT)/LBT","64.0","1.0","","","4383.0","0.025810896756412974","","","",""
"","AZ","05","","","   ","Total Party Votes:","LBT","64.0","","","","","","","","",""
"","AZ","05","","","   ","Total District Votes:","","54006.0","","","","169812.0","","","","",""
"H0AZ01184","AZ","06","Jeff","Flake","Flake, Jeff","","R","41025.0","1.0","","","103094.0","0.6594344269110959","","","(I)",""
"","AZ","06","","","   ","Total Party Votes:","R","41025.0","","","","","","","","",""
"H2AZ06106","AZ","06","Deborah","Thomas","Thomas, Deborah","","D","13720.0","1.0","","","49355.0","0.31569622034451217","","","",""
"","AZ","06","","","   ","Total Party Votes:","D","13720.0","","","","","","","","",""
"H2AZ06114","AZ","06","Andy ","Wagner","Wagner, Andy ","","W(LBT)/LBT","8.0","1.0","","","3888.0","0.024869352744391924","","","",""
"","AZ","06","","","   ","Total Party Votes:","LBT","8.0","","","","","","","","",""
"","AZ","06","","","   ","Total District Votes:","","54753.0","","","","156337.0","","","","",""
"H2AZ07039","AZ","07","Elaine","Richardson","Richardson, Elaine","","D","7589.0","0.20894823788546255","","","","","","","",""
"H2AZ07062","AZ","07","Jaime P.","Gutierrez","Gutierrez, Jaime P.","","D","5401.0","0.14870594713656388","","","","","","","",""
"H2AZ07047","AZ","07","Lisa","Otondo","Otondo, Lisa","","D","2302.0","0.06338105726872247","","","","","","","",""
"H6AZ02015","AZ","07","Luis Armando","Gonzales","Gonzales, Luis Armando","","D","2105.0","0.05795704845814978","","","","","","","",""
"H2AZ07054","AZ","07","Mark","Fleisher","Fleisher, Mark","","D","2022.0","0.05567180616740088","","","","","","","",""
"H2AZ07104","AZ","07","Sherry","Smith","Smith, Sherry","","D","1058.0","0.029129955947136563","","","","","","","",""
"","AZ","07","","","   ","Total Party Votes:","D","36320.0","","","","","","","","",""
"H2AZ07013","AZ","07","Ross","Hieb","Hieb, Ross","","R","6426.0","0.4070695553021665","","","38474.0","0.3705908416652218","","","",""
"H4AZ02010","AZ","07","Joseph","Sweeney","Sweeney, Joseph","","R","4781.0","0.3028632965919169","","","","","","","",""
"H2AZ07112","AZ","07","Lori","Lustig","Lustig, Lori","","R","2207.0","0.13980742430001267","","","","","","","",""
"","AZ","07","","","   ","Total Party Votes:","R","15786.0","","","","","","","","",""
"H2AZ07138","AZ","07","John L.","Nemeth","Nemeth, John L.","","LBT","312.0","1.0","","","4088.0","0.039376601360072434","","","",""
"","AZ","07","","","   ","Total Party Votes:","LBT","312.0","","","","","","","","",""
"","AZ","07","","","   ","Total District Votes:","","52418.0","","","","103818.0","","","","",""
"H2AZ02014","AZ","08","Jim","Kolbe","Kolbe, Jim","","R","35546.0","0.7247186429619964","","","126930.0","0.6332947492366336","","","(I)",""
"H2AZ05082","AZ","08","James (Jim)","Behnke","Behnke, James (Jim)","","R","13502.0","0.2752813570380036","","","","","","","",""
"","AZ","08","","","   ","Total Party Votes:","R","49048.0","","","","","","","","",""
"H0AZ05037","AZ","08","Mary Judge","Ryan","Ryan, Mary Judge","","D","32322.0","1.0","","","67328.0","0.3359211287844014","","","",""
"","AZ","08","","","   ","Total Party Votes:","D","32322.0","","","","","","","","",""
"H2AZ08029 ","AZ","08","Joe","Duarte","Duarte, Joe","","LBT","453.0","1.0","","","6142.0","0.030644420939190134","","","",""
"","AZ","08","","","   ","Total Party Votes:","LBT","453.0","","","","","","","","",""
"H2AZ08037","AZ","08","Jim","Dorrance","Dorrance, Jim","","W","","","","","28.0","0.00013970103977488176","","","",""
"","AZ","08","","","   ","Total District Votes:","","81823.0","","","","200428.0","","","","",""
"","AZ","","","","   ","Total State Votes:","","493019.0","","","","1194400.0","","","","",""
"","CA","","","","   ","","","","","","","","","","","",""
"H8CA01109","CA","01","Mike","Thompson","Thompson, Mike","","D","64401.0","1.0","","","118669.0","0.6407059865238425","","","(I)",""
"","CA","01","","","   ","Total Party Votes:","D","64401.0","","","","","","","","",""
"H0CA01106","CA","01","Lawrence R.","Wiesner","Wiesner, Lawrence R.","","R","42616.0","1.0","","","60013.0","0.3240162836903939","","","",""
"","CA","01","","","   ","Total Party Votes:","R","42616.0","","","","","","","","",""
"H2CA01102","CA","01","Kevin","Bastian","Bastian, Kevin","","LBT","730.0","1.0","","","6534.0","0.03527772978576365","","","",""
"","CA","01","","","   ","Total Party Votes:","LBT","730.0","","","","","","","","",""
"","CA","01","","","   ","Total District Votes:","","107747.0","","","","185216.0","","","","",""
"H6CA02010","CA","02","Wally","Herger","Herger, Wally","","R","71028.0","0.8876946534356488","","","117747.0","0.6578595971729475","","","(I)",""
"H2CA02084","CA","02","Al","Thompson","Thompson, Al","","R","6616.0","0.08268553003224435","","","","","","","",""
"H8CA02065","CA","02","Bob","Todd","Todd, Bob","","R","2370.0","0.02961981653210688","","","","","","","",""
"","CA","02","","","   ","Total Party Votes:","R","80014.0","","","","","","","","",""
"H2CA02076","CA","02","Mike","Johnson","Johnson, Mike","","D","25481.0","0.6092580637448294","","","52455.0","0.2930692516132637","","","",""
"H2CA02068","CA","02","Raymond G.","Hennemann","Hennemann, Raymond G.","","D","16342.0","0.3907419362551706","","","","","","","",""
"","CA","02","","","   ","Total Party Votes:","D","41823.0","","","","","","","","",""
"H6CA02184","CA","02","Patrice ","Thiessen","Thiessen, Patrice ","","NL","93.0","1.0","","","4860.0","0.027153113389390172","","","",""
"","CA","02","","","   ","Total Party Votes:","NL","93.0"," ","","","","","","","",""
"H0CA02104","CA","02","Charles R.","Martin","Martin, Charles R.","","LBT","698.0","1.0","","","3923.0","0.021918037824398693","","","",""
"","CA","02","","","   ","Total Party Votes:","LBT","698.0","","","","","","","","",""
"","CA","02","","","   ","Total District Votes:","","122628.0","","","","178985.0","","","","",""
"H8CA03105","CA","03","Doug","Ose","Ose, Doug","","R","67277.0","1.0","","","121732.0","0.6245292892395776","","","(I)",""
"","CA","03","","","   ","Total Party Votes:","R","67277.0","","","","","","","","",""
"H8CA03113","CA","03","Howard","Beeman","Beeman, Howard","","D","41650.0","1.0","","","67136.0","0.3444320175663612","","","",""
"","CA","03","","","   ","Total Party Votes:","D","41650.0","","","","","","","","",""
"H8CA05134","CA","03","Douglas Arthur","Tuma","Tuma, Douglas Arthur","","LBT","548.0","1.0","","","6050.0","0.031038693194061093","","","",""
"","CA","03","","","   ","Total Party Votes:","LBT","548.0","","","","","","","","",""
"","CA","03","","","   ","Total District Votes:","","109475.0","","","","194918.0","","","","",""
"H0CA14042","CA","04","John T.","Doolittle","Doolittle, John T.","","R","79575.0","0.7751466032846929","","","147997.0","0.6476722711876275","","","(I)",""
"H2CA04072","CA","04","Bill","Kirby","Kirby, Bill","","R/W","23083.0","0.22485339671530713","","","401.0","0.0017548773336367536","","","",""
