"#","STATE","STATE ABBREVIATION","DISTRICT","FEC ID","INCUMBENT INDICATOR","FIRST NAME","LAST NAME","LAST NAME, FIRST","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL","GENERAL %","GE RUNOFF","GE RUNOFF %","COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)","Notes (See Endnotes Tab)"
"2027.0","Nevada","NV","03","H6NV03030","","Anna","Nevenic","Nevenic, Anna","","DEM","4832.0","0.12577437659430477","","","","","","","","",""
"2028.0","Nevada","NV","03","H2NV03047","","Mark","Budetich","Budetich, Mark","","DEM","3885.0","0.10112447290332656","","","","","","","","",""
"2029.0","Nevada","NV","03","H6NV03055","","Freddie L.","Warman","Warman, Freddie L.","","DEM","1578.0","0.04107449632984538","","","","","","","","",""
"2030.0","Nevada","NV","03","","","","","","Party Votes:","DEM","38418.0","","","","","","","","","",""
"2031.0","Nevada","NV","03","H6NV03048","","Joshua","Hansen","Hansen, Joshua","","IAP","*","","","","5329.0","0.025258438043596756","","","","","15.0"
"2032.0","Nevada","NV","03","H4NV03076","","Joseph P.","Silvestri","Silvestri, Joseph P.","","LBT","*","","","","5157.0","0.024443191028490987","","","","","15.0"
"2033.0","Nevada","NV","03","","","","","","District Votes:","","38418.0","","","","210979.0","","","","","",""
"2034.0","Nevada","NV","H","","","","","","House Votes:","","161047.0","","","","574827.0","","","","","",""
"2035.0","New Hampshire","NH","01","H6NH01230","","Carol","Shea-Porter","Shea-Porter, Carol","","DEM","12497.0","0.5398272138228941","","","100691.0","0.5127433457074912","","","","",""
"2036.0","New Hampshire","NH","01","H6NH01248","","""Jim""","Craig","Craig, ""Jim""","","DEM","7944.0","0.3431533477321814","","","","","","","","",""
"2037.0","New Hampshire","NH","01","H6NH01222","","Gary","Dodds","Dodds, Gary","","DEM","1125.0","0.04859611231101512","","","","","","","","",""
"2038.0","New Hampshire","NH","01","H6NH01214","","Peter M.","Sullivan","Sullivan, Peter M.","","DEM","1021.0","0.044103671706263496","","","","","","","","",""
"2039.0","New Hampshire","NH","01","H6NH01255","","""Dave""","Jarvis","Jarvis, ""Dave""","","DEM","422.0","0.018228941684665226","","","","","","","","",""
"2040.0","New Hampshire","NH","01","H2NH01130","(I)","Jeb","Bradley","Bradley, Jeb","","W(DEM)","80.0","0.0034557235421166306","","","","","","","","",""
"2041.0","New Hampshire","NH","01","","","","Scattered","Scattered","","W(DEM)","57.0","0.0024622030237580993","","","","","","","","",""
"2042.0","New Hampshire","NH","01","H6NH01263","","Michael","Callis","Callis, Michael","","W(DEM)","4.0","0.00017278617710583154","","","","","","","","",""
"2043.0","New Hampshire","NH","01","","","","","","Party Votes:","DEM","23150.0","","","","","","","","","",""
"2044.0","New Hampshire","NH","01","H2NH01130","(I)","Jeb","Bradley","Bradley, Jeb","","REP","20329.0","0.8587420267815655","","","95527.0","0.48644698717263224","","","","",""
"2045.0","New Hampshire","NH","01","H6NH01263","","Michael","Callis","Callis, Michael","","REP","3128.0","0.13213365437418156","","","","","","","","",""
"2046.0","New Hampshire","NH","01","H6NH01230","","Carol","Shea-Porter","Shea-Porter, Carol","","W(REP)","74.0","0.003125924048494065","","","","","","","","",""
"2047.0","New Hampshire","NH","01","H6NH01248","","""Jim""","Craig","Craig, ""Jim""","","W(REP)","72.0","0.0030414396147509823","","","","","","","","",""
"2048.0","New Hampshire","NH","01","","","","Scattered","Scattered","","W(REP)","58.0","0.002450048578549402","","","","","","","","",""
"2049.0","New Hampshire","NH","01","H6NH01222","","Gary","Dodds","Dodds, Gary","","W(REP)","10.0","0.0004224221687154142","","","","","","","","",""
"2050.0","New Hampshire","NH","01","H6NH01255","","""Dave""","Jarvis","Jarvis, ""Dave""","","W(REP)","1.0","4.2242216871541416e-05","","","","","","","","",""
"2051.0","New Hampshire","NH","01","H6NH01214","","Peter M.","Sullivan","Sullivan, Peter M.","","W(REP)","1.0","4.2242216871541416e-05","","","","","","","","",""
"2052.0","New Hampshire","NH","01","","","","","","Party Votes:","REP","23673.0","","","","","","","","","",""
"2053.0","New Hampshire","NH","01","","","","Scattered","Scattered","","W","","","","","159.0","0.000809667119876564","","","","",""
"2054.0","New Hampshire","NH","01","","","","","","District Votes:","","46823.0","","","","196377.0","","","","","",""
"2055.0","New Hampshire","NH","02","H4NH02175","","Paul W.","Hodes","Hodes, Paul W.","","DEM","18002.0","0.9848998796367218","","","108743.0","0.5271314447482209","","","","",""
"2056.0","New Hampshire","NH","02","","","","Scattered","Scattered","","W(DEM)","134.0","0.007331217857533647","","","","","","","","",""
"2057.0","New Hampshire","NH","02","H0NH02017","(I)","Charles","Bass","Bass, Charles","","W(DEM)","111.0","0.006072874493927126","","","","","","","","",""
"2058.0","New Hampshire","NH","02","H6NH02139","","Robert A.","Danderson","Danderson, Robert A.","","W(DEM)","25.0","0.0013677645256592625","","","","","","","","",""
"2059.0","New Hampshire","NH","02","H6NH02154","","Mary","Maxwell","Maxwell, Mary","","W(DEM)","6.0","0.000328263486158223","","","","","","","","",""
"2060.0","New Hampshire","NH","02","","","","","","Party Votes:","DEM","18278.0","","","","","","","","","",""
"2061.0","New Hampshire","NH","02","H0NH02017","(I)","Charles","Bass","Bass, Charles","","REP","18068.0","0.7527392409282173","","","94088.0","0.45609136563705815","","","","",""
"2062.0","New Hampshire","NH","02","H6NH02139","","Robert A.","Danderson","Danderson, Robert A.","","REP","3239.0","0.13494146565012707","","","","","","","","",""
"2063.0","New Hampshire","NH","02","H6NH02154","","Mary","Maxwell","Maxwell, Mary","","REP","2557.0","0.10652835062283882","","","","","","","","",""
"2064.0","New Hampshire","NH","02","","","","Scattered","Scattered","","W(REP)","93.0","0.0038745156855393074","","","","","","","","",""
"2065.0","New Hampshire","NH","02","H4NH02175","","Paul W.","Hodes","Hodes, Paul W.","","W(REP)","46.0","0.001916427113277507","","","","","","","","",""
"2066.0","New Hampshire","NH","02","","","","","","Party Votes:","REP","24003.0","","","","","","","","","",""
"2067.0","New Hampshire","NH","02","H4NH02167","","""Ken""","Blevens","Blevens, ""Ken""","","LBT","","","","","3305.0","0.016020979970139414","","","","","15.0"
"2068.0","New Hampshire","NH","02","","","","Scattered","Scattered","","W","","","","","156.0","0.0007562096445814671","","","","",""
"2069.0","New Hampshire","NH","02","","","","","","District Votes:","","42281.0","","","","206292.0","","","","","",""
"2070.0","New Hampshire","NH","H","","","","","","House Votes:","","89104.0","","","","402669.0","","","","","","15.0"
"2071.0","New Jersey","NJ","S","S6NJ00289","(I)","Robert","Menendez","Menendez, Robert","","DEM","159604.0","0.8402687107779135","","","1200843.0","0.5336913962676717","","","","",""
"2072.0","New Jersey","NJ","S","S6NJ00297","","James D., Jr.","Kelly","Kelly, James D., Jr.","","DEM","30340.0","0.15973128922208651","","","","","","","","",""
"2073.0","New Jersey","NJ","S","","","","","","Party Votes:","DEM","189944.0","","","","","","","","","",""
"2074.0","New Jersey","NJ","S","S6NJ00271","","Thomas H. Jr.","Kean","Kean, Thomas H. Jr.","","REP","129794.0","0.7562783326146998","","","997775.0","0.44344175958970167","","","","",""
"2075.0","New Jersey","NJ","S","S6NJ00305","","John P.","Ginty","Ginty, John P.","","REP","41828.0","0.24372166738530024","","","","","","","","",""
"2076.0","New Jersey","NJ","S","","","","","","Party Votes:","REP","171622.0","","","","","","","","","",""
"2077.0","New Jersey","NJ","S","S6NJ00321","","Len","Flynn","Flynn, Len","","LBT","","","","","14637.0","0.0065051309514815095","","","","",""
"2078.0","New Jersey","NJ","S","S65NJ00339","","Edward","Forchion","Forchion, Edward","","LMP","","","","","11593.0","0.005152284151159742","","","","",""
"2079.0","New Jersey","NJ","S","S8NJ00145","","J.M.","Carter","Carter, J.M.","","GWT","","","","","7918.0","0.003519001631060367","","","","",""
"2080.0","New Jersey","NJ","S","S6NJ00313","","Daryl Mikell","Brooks","Brooks, Daryl Mikell","","PPC","","","","","5138.0","0.0022834845138151256","","","","",""
"2081.0","New Jersey","NJ","S","S6NJ00081","","N. Leonard","Smith","Smith, N. Leonard","","SDF","","","","","6243.0","0.0027745803463892233","","","","",""
"2082.0","New Jersey","NJ","S","S0NJ00100","","Gregory ","Pason","Pason, Gregory ","","SUS","","","","","2490.0","0.0011066322381081478","","","","",""
"2083.0","New Jersey","NJ","S","S6NJ00347","","Angela L. ","Lariscy","Lariscy, Angela L. ","","SWP","","","","","3433.0","0.0015257303106125588","","","","",""
"2084.0","New Jersey","NJ","S","","","","","","Senate Votes:","","361566.0","","","","2250070.0","","","","","",""
"2085.0","New Jersey","NJ","01","H0NJ01066","(I)","Robert E.","Andrews","Andrews, Robert E.","","DEM","18418.0","1.0","","","140110.0","1.0","","","","",""
"2086.0","New Jersey","NJ","01","","","","","","Party Votes:","DEM","18418.0","","","","","","","","","",""
"2087.0","New Jersey","NJ","01","","","","","","District Votes:","","18418.0","","","","140110.0","","","","","",""
"2088.0","New Jersey","NJ","02","H2NJ02037","(I)","Frank A.","LoBiondo","LoBiondo, Frank A.","","REP","14440.0","1.0","","","111245.0","0.6160598089436522","","","","",""
"2089.0","New Jersey","NJ","02","","","","","","Party Votes:","REP","14440.0","","","","","","","","","",""
"2090.0","New Jersey","NJ","02","H6NJ02145","","Viola","Thomas-Hughes","Thomas-Hughes, Viola","","DEM","8268.0","0.8292046936114733","","","64279.0","0.355968434168628","","","","",""
"2091.0","New Jersey","NJ","02","H6NJ02137","","Henry David","Marcus","Marcus, Henry David","","DEM","1703.0","0.17079530638852672","","","","","","","","",""
"2092.0","New Jersey","NJ","02","","","","","","Party Votes:","DEM","9971.0","","","","","","","","","",""
"2093.0","New Jersey","NJ","02","H6NJ02178","","Robert E. ","Mullock","Mullock, Robert E. ","","PGS","","","","","3071.0","0.017006783884812405","","","","",""
"2094.0","New Jersey","NJ","02","H6NJ02160","","Lynn","Merle","Merle, Lynn","","AND","","","","","992.0","0.005493562231759657","","","","",""
"2095.0","New Jersey","NJ","02","H4NJ02124","","Willie","Norwood","Norwood, Willie","","SUS","","","","","385.0","0.002132078083898657","","","","",""
"2096.0","New Jersey","NJ","02","H6NJ02152","","Thomas","Fanslau","Fanslau, Thomas","","WTP","","","","","603.0","0.0033393326872490654","","","","",""
"2097.0","New Jersey","NJ","02","","","","","","District Votes:","","24411.0","","","","180575.0","","","","","",""
"2098.0","New Jersey","NJ","03","H4NJ13022","(I)","Jim","Saxton","Saxton, Jim","","REP","16228.0","1.0","","","122559.0","0.5840286679596476","","","","",""
"2099.0","New Jersey","NJ","03","","","","","","Party Votes:","REP","16228.0","","","","","","","","","",""
"2100.0","New Jersey","NJ","03","H6NJ03135","","Rich","Sexton","Sexton, Rich","","DEM","9960.0","1.0","","","86113.0","0.4103530600283058","","","","",""
"2101.0","New Jersey","NJ","03","","","","","","Party Votes:","DEM","9960.0","","","","","","","","","",""
"2102.0","New Jersey","NJ","03","H6NJ03119","","Ken","Feduniewicz","Feduniewicz, Ken","","TPM","","","","","1179.0","0.005618272012046643","","","","",""
"2103.0","New Jersey","NJ","03","","","","","","District Votes:","","26188.0","","","","209851.0","","","","","",""
"2104.0","New Jersey","NJ","04","H8NJ04014","(I)","Christopher H.","Smith","Smith, Christopher H.","","REP","16109.0","1.0","","","124482.0","0.656758467869579","","","","",""
"2105.0","New Jersey","NJ","04","","","","","","Party Votes:","REP","16109.0","","","","","","","","","",""
"2106.0","New Jersey","NJ","04","H6NJ04133","","Carol E.","Gay","Gay, Carol E.","","DEM","8368.0","1.0","","","62905.0","0.33188245225282265","","","","",""
"2107.0","New Jersey","NJ","04","","","","","","Party Votes:","DEM","8368.0","","","","","","","","","",""
"2108.0","New Jersey","NJ","04","H4NJ04104","","Richard","Edgar","Edgar, Richard","","LBT","","","","","1539.0","0.00811965811965812","","","","",""
"2109.0","New Jersey","NJ","04","H6NJ04141","","Louis B., Jr. ","Wary","Wary, Louis B., Jr. ","","RMN","","","","","614.0","0.0032394217579402767","","","","",""
"2110.0","New Jersey","NJ","04","","","","","","District Votes:","","24477.0","","","","189540.0","","","","","",""
"2111.0","New Jersey","NJ","05","H8NJ05052","(I)","Scott","Garrett","Garrett, Scott","","REP","23760.0","0.8637801286945141","","","112142.0","0.5490643452375124","","","","",""
"2112.0","New Jersey","NJ","05","H2NJ05261","","Michael J.","Cino","Cino, Michael J.","","REP","3747.0","0.13621987130548588","","","","","","","","",""
"2113.0","New Jersey","NJ","05","","","","","","Party Votes:","REP","27507.0","","","","","","","","","",""
"2114.0","New Jersey","NJ","05","H6NJ05148","","Paul","Aronsohn","Aronsohn, Paul","","DEM","6857.0","0.6630886761435064","","","89503.0","0.4382203464517582","","","","",""
"2115.0","New Jersey","NJ","05","H6NJ05155","","Camille M.","Abate","Abate, Camille M.","","DEM","3484.0","0.3369113238564936","","","","","","","","",""
"2116.0","New Jersey","NJ","05","","","","","","Party Votes:","DEM","10341.0","","","","","","","","","",""
"2117.0","New Jersey","NJ","05","H6NJ05163","","R. Matthew","Fretz","Fretz, R. Matthew","","AIV","","","","","2597.0","0.012715308310729428","","","","",""
"2118.0","New Jersey","NJ","05","","","","","","District Votes:","","37848.0","","","","204242.0","","","","","",""
"2119.0","New Jersey","NJ","06","H8NJ03073","(I)","Frank, Jr.","Pallone","Pallone, Frank, Jr.","","DEM","10934.0","1.0","","","98615.0","0.6859076460809749","","","","",""
"2120.0","New Jersey","NJ","06","","","","","","Party Votes:","DEM","10934.0","","","","","","","","","",""
"2121.0","New Jersey","NJ","06","H6NJ06203","","Leigh-Ann","Bellew","Bellew, Leigh-Ann","","REP","5309.0","1.0","","","43539.0","0.3028315469524876","","","","",""
"2122.0","New Jersey","NJ","06","","","","","","Party Votes:","REP","5309.0","","","","","","","","","",""
"2123.0","New Jersey","NJ","06","H6NJ06211","","Herbert L. ","Tarbous","Tarbous, Herbert L. ","","DIS","","","","","1619.0","0.011260806966537529","","","","",""
"2124.0","New Jersey","NJ","06","","","","","","District Votes:","","16243.0","","","","143773.0","","","","","",""
"2125.0","New Jersey","NJ","07","H8NJ06118","(I)","Mike","Ferguson","Ferguson, Mike","","REP","16423.0","1.0","","","98399.0","0.4942810498555821","","","","",""
"2126.0","New Jersey","NJ","07","","","","","","Party Votes:","REP","16423.0","","","","","","","","","",""
"2127.0","New Jersey","NJ","07","H6NJ07128","","Linda","Stender","Stender, Linda","","DEM","8631.0","1.0","","","95454.0","0.47948763029009167","","","","",""
"2128.0","New Jersey","NJ","07","","","","","","Party Votes:","DEM","8631.0","","","","","","","","","",""
"2129.0","New Jersey","NJ","07","H6NJ07136","","Thomas D. ","Abrams","Abrams, Thomas D. ","","WTN","","","","","3176.0","0.015953786261459248","","","","",""
"2130.0","New Jersey","NJ","07","H8NJ07082","","Darren","Young","Young, Darren","","LBT","","","","","2046.0","0.010277533592867009","","","","",""
"2131.0","New Jersey","NJ","07","","","","","","District Votes:","","25054.0","","","","199075.0","","","","","",""
"2132.0","New Jersey","NJ","08","H6NJ08118","(I)","Bill, Jr.","Pascrell","Pascrell, Bill, Jr.","","DEM","11083.0","1.0","","","97568.0","0.708868852578121","","","","",""
"2133.0","New Jersey","NJ","08","","","","","","Party Votes:","DEM","11083.0","","","","","","","","","",""
"2134.0","New Jersey","NJ","08","H6NJ08134","","Jose M.","Sandoval","Sandoval, Jose M.","","REP","3982.0","1.0","","","39053.0","0.2837349879031379","","","","",""
"2135.0","New Jersey","NJ","08","","","","","","Party Votes:","REP","3982.0","","","","","","","","","",""
"2136.0","New Jersey","NJ","08","H6NJ08142","","Lou","Jasikoff","Jasikoff, Lou","","LBT","","","","","1018.0","0.007396159518741055","","","","",""
"2137.0","New Jersey","NJ","08","","","","","","District Votes:","","15065.0","","","","137639.0","","","","","",""
"2138.0","New Jersey","NJ","09","H6NJ09165","(I)","Steven R.","Rothman","Rothman, Steven R.","","DEM","18513.0","1.0","","","105853.0","0.7147641716465782","","","","",""
"2139.0","New Jersey","NJ","09","","","","","","Party Votes:","DEM","18513.0","","","","","","","","","",""
"2140.0","New Jersey","NJ","09","H6NJ09215","","Vincent ","Micco","Micco, Vincent ","","REP","6169.0","1.0","","","40879.0","0.2760322765792228","","","","",""
"2141.0","New Jersey","NJ","09","","","","","","Party Votes:","REP","6169.0","","","","","","","","","",""
"2142.0","New Jersey","NJ","09","H6NJ09223","","Michael","Jarvis","Jarvis, Michael","","TMC","","","","","1363.0","0.009203551774198994","","","","",""
"2143.0","New Jersey","NJ","09","","","","","","District Votes:","","24682.0","","","","148095.0","","","","","",""
"2144.0","New Jersey","NJ","10","H0NJ10026","(I)","Donald M.","Payne","Payne, Donald M.","","DEM","22361.0","1.0","","","90264.0","1.0","","","","",""
"2145.0","New Jersey","NJ","10","","","","","","Party Votes:","DEM","22361.0","","","","","","","","","",""
"2146.0","New Jersey","NJ","10","","","","","","District Votes:","","22361.0","","","","90264.0","","","","","",""
"2147.0","New Jersey","NJ","11","H2NJ05014","(I)","Rodney","Frelinghuysen","Frelinghuysen, Rodney","","REP","26461.0","1.0","","","126085.0","0.6208912153877215","","","","",""
"2148.0","New Jersey","NJ","11","","","","","","Party Votes:","REP","26461.0","","","","","","","","","",""
"2149.0","New Jersey","NJ","11","H6NJ11112","","Tom","Wyka","Wyka, Tom","","DEM","8235.0","1.0","","","74414.0","0.3664432636860999","","","","",""
"2150.0","New Jersey","NJ","11","","","","","","Party Votes:","DEM","8235.0","","","","","","","","","",""
"2151.0","New Jersey","NJ","11","H8NJ11035","","Richard S. ","Roth","Roth, Richard S. ","","LBT","","","","","1730.0","0.008519187870252276","","","","",""
"2152.0","New Jersey","NJ","11","H8NJ11076","","John ","Mele","Mele, John ","","CON","","","","","842.0","0.004146333055926253","","","","",""
"2153.0","New Jersey","NJ","11","","","","","","District Votes:","","34696.0","","","","203071.0","","","","","",""
"2154.0","New Jersey","NJ","12","H6NJ12144","(I)","Rush","Holt","Holt, Rush","","DEM","13315.0","1.0","","","125468.0","0.6569796362912812","","","","",""
"2155.0","New Jersey","NJ","12","","","","","","Party Votes:","DEM","13315.0","","","","","","","","","",""
"2156.0","New Jersey","NJ","12","H6NJ12185","","Joseph S.","Sinagra","Sinagra, Joseph S.","","REP","9383.0","1.0","","","65509.0","0.34302036370871886","","","","",""
"2157.0","New Jersey","NJ","12","","","","","","Party Votes:","REP","9383.0","","","","","","","","","",""
"2158.0","New Jersey","NJ","12","","","","","","District Votes:","","22698.0","","","","190977.0","","","","","",""
"2159.0","New Jersey","NJ","13","H6NJ13191","","Albio","Sires","Sires, Albio","","DEM","24661.0","0.7222010718364718","","","77238.0","0.7752484191508582","","","","",""
"2160.0","New Jersey","NJ","13","H6NJ13209","","Joseph","Vas","Vas, Joseph","","DEM","9486.0","0.2777989281635283","","","","","","","","",""
"2161.0","New Jersey","NJ","13","","","","","","Party Votes:","DEM","34147.0","","","","","","","","","",""
"2162.0","New Jersey","NJ","13","H6NJ13217","","John J.","Guarini","Guarini, John J.","","REP","2769.0","","","","19284.0","0.19355615778380006","","","","",""
"2163.0","New Jersey","NJ","13","","","","","","Party Votes:","REP","2769.0","","","","","","","","","",""
"2164.0","New Jersey","NJ","13","H6NJ13233","","Brian ","Williams","Williams, Brian ","","SWP","","","","","1049.0","0.010528957141423266","","","","",""
"2165.0","New Jersey","NJ","13","H6NJ13225","","Herbert H. ","Shaw","Shaw, Herbert H. ","","PC","","","","","998.0","0.010017063133594298","","","","",""
"2166.0","New Jersey","NJ","13","H6NJ13134","","Dick ","Hester","Hester, Dick ","","PLC","","","","","586.0","0.005881762521328917","","","","",""
"2167.0","New Jersey","NJ","13","H2NJ13133","","Esmat ","Zaklama","Zaklama, Esmat ","","TAP","","","","","475.0","0.004767640268995283","","","","",""
"2168.0","New Jersey","NJ","13","","","","","","District Votes:","","36916.0","","","","99630.0","","","","","",""
"2169.0","New Jersey","NJ","H","","","","","","House Votes:","","329057.0","","","","2136842.0","","","","","",""
"2170.0","New Jersey","NJ","13*","H6NJ13191","","Albio","Sires","Sires, Albio","","DEM","24216.0","0.9014629788184492","","","75403.0","0.9667671004551573","","","","","16.0"
"2171.0","New Jersey","NJ","13*","H2NJ13117","","James","Geron","Geron, James","","DEM","2647.0","0.09853702118155083","","","","","","","","","16.0"
"2172.0","New Jersey","NJ","13*","","","","","","Party Votes:","DEM","26863.0","","","","","","","","","","16.0"
"2173.0","New Jersey","NJ","13*","H6NJ13134","","Dick","Hester","Hester, Dick","","PLC","","","","","2592.0","0.03323289954484262","","","","","16.0"
"2174.0","New Jersey","NJ","13*","","","","","","District Votes:","","26863.0","","","","77995.0","","","","","","16.0"
"2175.0","New Mexico","NM","S","S2NM00021","(I)","Jeff","Bingaman","Bingaman, Jeff","","DEM","115198.0","1.0","","","394365.0","0.7060513830453854","","","","",""
"2176.0","New Mexico","NM","S","","","","","","Party Votes:","DEM","115198.0","","","","","","","","","",""
"2177.0","New Mexico","NM","S","S6NM01111","","Allen W., MD","McCulloch","McCulloch, Allen W., MD","","REP","29592.0","0.5104357125608031","","","163826.0","0.2933058812997941","","","","",""
"2178.0","New Mexico","NM","S","S8NM00127","","Joseph J.","Carraro","Carraro, Joseph J.","","REP","18312.0","0.3158657329147549","","","","","","","","",""
"2179.0","New Mexico","NM","S","S6NM01103","","David","Pfeffer","Pfeffer, David","","REP","10070.0","0.173698554524442","","","","","","","","",""
"2180.0","New Mexico","NM","S","","","","","","Party Votes:","REP","57974.0","","","","","","","","","",""
"2181.0","New Mexico","NM","S","S8NM00051","","Orlin G.","Cole","Cole, Orlin G.","","W","","","","","359.0","0.0006427356548205174","","","","",""
"2182.0","New Mexico","NM","S","","","","","","Senate Votes:","","173172.0","","","","558550.0","","","","","",""
"2183.0","New Mexico","NM","01","H8NM01174","(I)","Heather A.","Wilson","Wilson, Heather A.","","REP","17035.0","1.0","","","105986.0","0.5020392115995851","","","","",""
"2184.0","New Mexico","NM","01","","","","","","Party Votes:","REP","17035.0","","","","","","","","","",""
"2185.0","New Mexico","NM","01","H8NM01117","","Patricia A.","Madrid","Madrid, Patricia A.","","DEM","30732.0","1.0","","","105125.0","0.49796078840041497","","","","",""
"2186.0","New Mexico","NM","01","","","","","","Party Votes:","DEM","30732.0","","","","","","","","","",""
"2187.0","New Mexico","NM","01","","","","","","District Votes:","","47767.0","","","","211111.0","","","","","",""
"2188.0","New Mexico","NM","02","H2NM02126","(I)","Steve","Pearce","Pearce, Steve","","REP","22086.0","1.0","","","92620.0","0.5941978777730731","","","","",""
"2189.0","New Mexico","NM","02","","","","","","Party Votes:","REP","22086.0","","","","","","","","","",""
"2190.0","New Mexico","NM","02","H6NM02085","","Albert D.","Kissling","Kissling, Albert D.","","DEM","23655.0","1.0","","","63119.0","0.40493603808204065","","","","",""
"2191.0","New Mexico","NM","02","","","","","","Party Votes:","DEM","23655.0","","","","","","","","","",""
"2192.0","New Mexico","NM","02","H6NM02093","","C. Dean","Burk","Burk, C. Dean","","W","","","","","135.0","0.0008660841448862543","","","","",""
"2193.0","New Mexico","NM","02","","","","","","District Votes:","","45741.0","","","","155874.0","","","","","",""
"2194.0","New Mexico","NM","03","H8NM03097","(I)","Tom","Udall","Udall, Tom","","DEM","50472.0","1.0","","","144880.0","0.7464232170181196","","","","",""
"2195.0","New Mexico","NM","03","","","","","","Party Votes:","DEM","50472.0","","","","","","","","","",""
"2196.0","New Mexico","NM","03","H6NM03042","","Ronald M.","Dolin","Dolin, Ronald M.","","REP","15654.0","1.0","","","49219.0","0.25357678298188036","","","","",""
"2197.0","New Mexico","NM","03","","","","","","Party Votes:","REP","15654.0","","","","","","","","","",""
"2198.0","New Mexico","NM","03","","","","","","District Votes:","","66126.0","","","","194099.0","","","","","",""
"2199.0","New Mexico","NM","H","","","","","","House Votes:","","159634.0","","","","561084.0","","","","","",""
"2200.0","New York","NY","S","S0NY00188","(I)","Hillary Rodham","Clinton","Clinton, Hillary Rodham","","DEM","640955.0","0.8368061267386815","","","2698931.0","0.6010911229778356","","","3008428.0","0.6700205988659822",""
"2201.0","New York","NY","S","S6NY00268","","Jonathan B.","Tasini","Tasini, Jonathan B.","","DEM","124999.0","0.16319387326131857","","","","","","","","",""
"2202.0","New York","NY","S","","","","","","Party Votes:","DEM","765954.0","","","","","","","","","",""
"2203.0","New York","NY","S","S0NY00188","(I)","Hillary Rodham","Clinton","Clinton, Hillary Rodham","","IDP","Unopposed","","","","160705.0","0.03579133698421823","","","3008428.0","0.6700205988659822",""
"2204.0","New York","NY","S","S0NY00188","(I)","Hillary Rodham","Clinton","Clinton, Hillary Rodham","","WF","Unopposed","","","","148792.0","0.033138138903928305","","","3008428.0","0.6700205988659822",""
"2205.0","New York","NY","S","S6NY00243","","John","Spencer","Spencer, John","","REP","114914.0","0.6079398165292929","","","1212902.0","0.27013088709643296","","","1392189.0","0.3100607052967972",""
"2206.0","New York","NY","S","S6NY00300","","K. T.","McFarland","McFarland, K. T.","","REP","74108.0","0.3920601834707071","","","","","","","","",""
"2207.0","New York","NY","S","","","","","","Party Votes:","REP","189022.0","","","","","","","","","",""
"2208.0","New York","NY","S","S6NY00243","","John","Spencer","Spencer, John","","CRV","Unopposed","","","","179287.0","0.039929818200364224","","","1392189.0","0.3100607052967972",""
"2209.0","New York","NY","S","S6NY00342","","Howie","Hawkins","Hawkins, Howie","","GRE","","","","","55469.0","0.012353751726315925","","","","",""
"2210.0","New York","NY","S","S6NY00334","","Jeffrey T.","Russell","Russell, Jeffrey T.","","LBT","","","","","20996.0","0.004676114068141289","","","","",""
"2211.0","New York","NY","S","S6NY00359","","Willam","Van Auken","Van Auken, Willam","","SEP","","","","","6004.0","0.001337177979859035","","","","",""
"2212.0","New York","NY","S","S6NY00367","","Roger","Calero","Calero, Roger","","SWP","","","","","6967.0","0.00155165206290438","","","","",""
"2213.0","New York","NY","S","","","","","","Senate Votes:","","954976.0","","","","4490053.0","","","","","",""
"2214.0","New York","NY","01","H2NY01067 ","(I)","Timothy H. ","Bishop","Bishop, Timothy H. ","","DEM","Unopposed","","","","92546.0","0.5518939936071753","","","104360.0","0.6223462621058156",""
"2215.0","New York","NY","01","H2NY01067 ","(I)","Timothy H. ","Bishop","Bishop, Timothy H. ","","IDP","Unopposed","","","","7468.0","0.04453508897476265","","","104360.0","0.6223462621058156",""
"2216.0","New York","NY","01","H2NY01067 ","(I)","Timothy H. ","Bishop","Bishop, Timothy H. ","","WF","Unopposed","","","","4346.0","0.025917179523877676","","","104360.0","0.6223462621058156",""
"2217.0","New York","NY","01","H6NY01100","","Italo A. ","Zanzi","Zanzi, Italo A. ","","REP","Unopposed","","","","54044.0","0.3222890129287725","","","63328.0","0.37765373789418444",""
"2218.0","New York","NY","01","H6NY01100","","Italo A. ","Zanzi","Zanzi, Italo A. ","","CRV","Unopposed","","","","9284.0","0.055364724965411956","","","63328.0","0.37765373789418444",""
"2219.0","New York","NY","01","","","","","","District Votes:","","","","","","167688.0","","","","","",""
"2220.0","New York","NY","02","H0NY02085","(I)","Steve J. ","Israel","Israel, Steve J. ","","DEM","Unopposed","","","","94100.0","0.6294819651075672","","","105276.0","0.7042438189018516",""
"2221.0","New York","NY","02","H0NY02085","(I)","Steve J. ","Israel","Israel, Steve J. ","","IDP","Unopposed","","","","7443.0","0.04978994969495879","","","105276.0","0.7042438189018516",""
"2222.0","New York","NY","02","H0NY02085","(I)","Steve J. ","Israel","Israel, Steve J. ","","WF","Unopposed","","","","3733.0","0.0249719040993257","","","105276.0","0.7042438189018516",""
"2223.0","New York","NY","02","H0NY02036","","John W. ","Bugler","Bugler, John W. ","","REP","Unopposed","","","","37671.0","0.25200016054800384","","","44212.0","0.29575618109814833",""
